Time,dBa
1,34
2,33
3,34
4,33
5,33
6,34
7,33
8,34
9,33
10,34
11,33
12,34
13,33
14,34
15,33
16,34
17,33
18,34
19,33
20,34
21,33
22,34
23,33
24,34
25,33
26,34
27,33
28,34
29,33
30,34
31,33
32,34
33,33
34,34
35,33
36,34
37,33
38,34
39,33
40,34
41,33
42,34
43,33
44,34
45,33
46,34
47,33
48,34
49,33
50,34
51,33
52,34
53,33
54,34
55,33
56,34
57,33
58,34
59,33
60,34
61,33
62,34
63,33
64,34
65,33
66,34
67,33
68,34
69,33
70,34
71,33
72,34
73,33
74,34
75,33
76,34
77,33
78,34
79,33
80,34
81,33
82,34
83,33
84,34
85,33
86,34
87,33
88,34
89,33
90,34
91,33
92,34
93,33
94,34
95,33
96,34
97,33
98,34
99,33
100,34
101,33
102,34
103,33
104,34
105,33
106,34
107,33
108,34
109,33
110,34
111,33
112,34
113,33
114,34
115,33
116,34
117,33
118,34
119,33
120,34
121,33
122,34
123,33
124,34
125,33
126,34
127,33
128,34
129,33
130,34
131,33
132,34
133,33
134,34
135,33
136,34
137,33
138,34
139,33
140,34
141,33
142,34
143,33
144,34
145,33
146,34
147,33
148,34
149,33
150,34
151,33
152,34
153,33
154,34
155,33
156,34
157,33
158,34
159,33
160,34
161,33
162,34
163,33
164,34
165,33
166,34
167,33
168,34
169,33
170,34
171,33
172,34
173,33
174,34
175,33
176,34
177,33
178,34
179,33
180,34
181,33
182,34
183,33
184,34
185,33
186,34
187,33
188,34
189,33
190,34
191,33
192,34
193,33
194,34
195,33
196,34
197,33
198,34
199,33
200,34
201,34
202,33
203,34
204,33
205,34
206,38
207,36
208,35
209,33
210,34
211,33
212,34
213,33
214,34
215,33
216,34
217,33
218,34
219,33
220,34
221,33
222,34
223,33
224,34
225,33
226,34
227,33
228,34
229,33
230,34
231,33
232,34
233,33
234,34
235,33
236,34
237,33
238,34
239,33
240,34
241,33
242,34
243,33
244,34
245,33
246,34
247,33
248,34
249,33
250,34
251,45
252,40
253,36
254,34
255,33
256,34
257,33
258,34
259,33
260,34
261,33
262,34
263,33
264,34
265,33
266,34
267,33
268,34
269,33
270,34
271,33
272,34
273,33
274,34
275,33
276,34
277,33
278,34
279,33
280,34
281,33
282,34
283,33
284,34
285,33
286,34
287,33
288,34
289,33
290,34
291,33
292,34
293,33
294,34
295,33
296,34
297,33
298,34
299,33
300,34
